productId,Price in Naira,total sales,date of sales,storeId,price in kobo,,,,,,,
QQY5BH97817817501001,0,1,17/7/2020,QQY5BH,0,,,,,,,
EQHKCH00678000098231,8500,1,4/1/2019,EQHKCH,850000,,,,,,,
EQHKCH00678000359471,13500,1,4/1/2019,EQHKCH,1350000,,,,,,,
EQHKCH006780003726,13500,1,4/1/2019,EQHKCH,1350000,,,,,,,
EQHKCH006780003855,5200,1,4/1/2019,EQHKCH,520000,,,,,,,
EQHKCH00678000485381,8500,1,4/1/2019,EQHKCH,850000,,,,,,,
EQHKCH00678000513111,17000,1,4/1/2019,EQHKCH,1700000,,,,,,,
EQHKCH0067800057837,2500,1,4/1/2019,EQHKCH,250000,,,,,,,
EQHKCH0067800058178,2500,1,4/1/2019,EQHKCH,250000,,,,,,,
EQHKCH0067800058362,2500,1,4/1/2019,EQHKCH,250000,,,,,,,
EQHKCH006780006846,8800,1,4/1/2019,EQHKCH,880000,,,,,,,
EQHKCH6782812111011,1500,1,4/1/2019,EQHKCH,150000,,,,,,,
EQHKCH00678000037801,18000,1,5/1/2019,EQHKCH,1800000,,,,,,,
EQHKCH006780003597,21000,1,5/1/2019,EQHKCH,2100000,,,,,,,
EQHKCH006780003794,13500,1,5/1/2019,EQHKCH,1350000,,,,,,,
EQHKCH006780004026,10700,1,5/1/2019,EQHKCH,1070000,,,,,,,
EQHKCH006780004051,8500,1,5/1/2019,EQHKCH,850000,,,,,,,
EQHKCH006780004142,11000,1,5/1/2019,EQHKCH,1100000,,,,,,,
EQHKCH0067800058178,2500,1,5/1/2019,EQHKCH,250000,,,,,,,
EQHKCH0067800058362,2500,1,5/1/2019,EQHKCH,250000,,,,,,,
EQHKCH0067800058658,2500,1,5/1/2019,EQHKCH,250000,,,,,,,
EQHKCH006780006551,13500,1,5/1/2019,EQHKCH,1350000,,,,,,,
EQHKCH006780006729,10500,1,5/1/2019,EQHKCH,1050000,,,,,,,
EQHKCH006780006737,10500,1,5/1/2019,EQHKCH,1050000,,,,,,,
EQHKCH006780006812,6500,1,5/1/2019,EQHKCH,650000,,,,,,,
EQHKCH006780006825,7000,1,5/1/2019,EQHKCH,700000,,,,,,,
EQHKCH6782610111041,7500,1,5/1/2019,EQHKCH,750000,,,,,,,
EQHKCH6783956111001,8500,1,5/1/2019,EQHKCH,850000,,,,,,,
EQHKCH6783975111001,9000,1,5/1/2019,EQHKCH,900000,,,,,,,
EQHKCH6785554111031,6000,1,5/1/2019,EQHKCH,600000,,,,,,,
EQHKCH006780003837,14000,1,7/1/2019,EQHKCH,1400000,,,,,,,
EQHKCH006780006491,13500,1,7/1/2019,EQHKCH,1350000,,,,,,,
EQHKCH006780006655,8500,1,7/1/2019,EQHKCH,850000,,,,,,,
EQHKCH006780006704,9500,1,7/1/2019,EQHKCH,950000,,,,,,,
EQHKCH006780006716,10500,1,7/1/2019,EQHKCH,1050000,,,,,,,
EQHKCH006780004004,5000,1,8/1/2019,EQHKCH,500000,,,,,,,
EQHKCH006780004190,6500,1,8/1/2019,EQHKCH,650000,,,,,,,
EQHKCH006780006629,19500,1,8/1/2019,EQHKCH,1950000,,,,,,,
EQHKCH6782622011101,7500,1,8/1/2019,EQHKCH,750000,,,,,,,
EQHKCH6785477111041,7500,1,8/1/2019,EQHKCH,750000,,,,,,,
EQHKCH006780003828,12000,1,10/1/2019,EQHKCH,1200000,,,,,,,
EQHKCH006780004138,6000,1,10/1/2019,EQHKCH,600000,,,,,,,
EQHKCH006780006590,16500,1,10/1/2019,EQHKCH,1650000,,,,,,,
EQHKCH6783111611101,10000,1,10/1/2019,EQHKCH,1000000,,,,,,,
EQHKCH006780006563,9000,1,11/1/2019,EQHKCH,900000,,,,,,,
EQHKCH006780006658,8500,1,11/1/2019,EQHKCH,850000,,,,,,,
EQHKCH006780004065,7000,1,12/1/2019,EQHKCH,700000,,,,,,,
EQHKCH006780006849,3000,1,12/1/2019,EQHKCH,300000,,,,,,,
EQHKCH6783869111021,9500,1,12/1/2019,EQHKCH,950000,,,,,,,
EQHKCH00678000517371,8000,1,14/1/2019,EQHKCH,800000,,,,,,,
EQHKCH006780006661,14500,1,14/1/2019,EQHKCH,1450000,,,,,,,
EQHKCH006780003773,4800,1,15/1/2019,EQHKCH,480000,,,,,,,
EQHKCH0067800058658,2500,1,15/1/2019,EQHKCH,250000,,,,,,,
EQHKCH006780006598,16500,1,15/1/2019,EQHKCH,1650000,,,,,,,
EQHKCH006780006540,10500,1,16/1/2019,EQHKCH,1050000,,,,,,,
EQHKCH006780006718,10500,1,16/1/2019,EQHKCH,1050000,,,,,,,
EQHKCH006780006762,7500,1,16/1/2019,EQHKCH,750000,,,,,,,
EQHKCH006780006766,7500,1,16/1/2019,EQHKCH,750000,,,,,,,
EQHKCH23974291612901,7500,1,16/1/2019,EQHKCH,750000,,,,,,,
EQHKCH6782620011101,7500,1,16/1/2019,EQHKCH,750000,,,,,,,
EQHKCH6783101711101,13000,1,16/1/2019,EQHKCH,1300000,,,,,,,
EQHKCH6783853111071,10500,1,16/1/2019,EQHKCH,1050000,,,,,,,
EQHKCH006780006588,16500,1,17/1/2019,EQHKCH,1650000,,,,,,,
EQHKCH006780006811,7000,1,19/1/2019,EQHKCH,700000,,,,,,,
EQHKCH00678000228401,22000,1,21/1/2019,EQHKCH,2200000,,,,,,,
EQHKCH006780003737,13500,1,21/1/2019,EQHKCH,1350000,,,,,,,
EQHKCH006780006730,17500,1,21/1/2019,EQHKCH,1750000,,,,,,,
EQHKCH09809664575321,9500,1,21/1/2019,EQHKCH,950000,,,,,,,
EQHKCH6781221110091,3000,1,21/1/2019,EQHKCH,300000,,,,,,,
EQHKCH6783175411101,17000,1,21/1/2019,EQHKCH,1700000,,,,,,,
EQHKCH8549473918462,8500,1,21/1/2019,EQHKCH,850000,,,,,,,
EQHKCH0067800057837,2500,1,23/1/2019,EQHKCH,250000,,,,,,,
EQHKCH6782819111011,1000,1,23/1/2019,EQHKCH,100000,,,,,,,
EQHKCH6782881110071,1500,1,23/1/2019,EQHKCH,150000,,,,,,,
EQHKCH006780009309,17500,1,25/1/2019,EQHKCH,1750000,,,,,,,
EQHKCH006780009573,9500,1,25/1/2019,EQHKCH,950000,,,,,,,
EQHKCH006780009658,7500,1,25/1/2019,EQHKCH,750000,,,,,,,
EQHKCH6782633111091,8500,1,25/1/2019,EQHKCH,850000,,,,,,,
EQHKCH006780006594,16500,1,26/1/2019,EQHKCH,1650000,,,,,,,
EQHKCH006780009085,10500,1,26/1/2019,EQHKCH,1050000,,,,,,,
EQHKCH006780009100,10500,1,26/1/2019,EQHKCH,1050000,,,,,,,
EQHKCH006780009119,10500,1,26/1/2019,EQHKCH,1050000,,,,,,,
EQHKCH006780009173,9000,1,26/1/2019,EQHKCH,900000,,,,,,,
EQHKCH006780009447,9500,1,26/1/2019,EQHKCH,950000,,,,,,,
EQHKCH006780009450,9500,1,26/1/2019,EQHKCH,950000,,,,,,,
EQHKCH006780009485,9500,1,26/1/2019,EQHKCH,950000,,,,,,,
